Key,Title,Video ID,Published At,Keyword,Likes,Comments,Views
1318,World&#39;s Fastest Car!,nopEs-K4ExM,22-Jul,mrbeast,557743,19706,21747698
1319,"Last To Leave Roller Coaster Wins $20,000 - Challenge",gL6iSCSHjco,19-Aug,mrbeast,2121115,65601,92621700
1320,"I Ate A $70,000 Golden Pizza",F4Y3Pkn95GI,20-Feb,mrbeast,3206546,108235,156000008
1321,Weirdest Things On Amazon!,wUoxbm9MUc0,22-May,mrbeast,632277,19405,18492610
1322,I Went Back To 1st Grade For A Day,A-vX1AGBGsc,19-Jan,mrbeast,2523764,136866,134377650
1323,People With Amazing Talent!,_t9LL1VcG3Q,22-Jul,mrbeast,372266,6699,13545273
1324,Reacting To The World’s Most Satisfying Videos!,T1QUEKLNPtA,22-Jul,mrbeast,381271,14433,15014572
1325,100 Million Subscriber Livestream!,er5LLR2oCmg,22-Jul,mrbeast,492024,41183,6968660
1326,"MrBeast Hit 100,000,000 Subs So I Did This...",k_Xwk6Afo1U,22-Jul,mrbeast,201509,9784,6383519
1327,Giving School Supplies To The Poorest Schools In America,STiUV6XXG4E,22-Aug,mrbeast,494889,23110,7715681
1328,I Built MrBeast’s 100 Million Playbutton!,8GlEuSyQfcc,22-Aug,mrbeast,61448,4080,1928710
1329,John Dean: National Archives letter ‘very damning’ for Trump people,ObMP3SxPVbs,22-Aug,cnn,11244,6530,755642
1330,Cruise ship spots migrants lost at sea floating on dresser,LJx4AJNvyss,22-Aug,cnn,544,614,53110
1331,Tapper: Republicans take credit for bills they opposed,OfEtxu0xE2w,22-Aug,cnn,6958,4724,288312
1332,CNN reporter explains impact of student debt relief on economy,7SJA7_tz-kg,22-Aug,cnn,656,1495,51269
1333,AO VIVO: CNN PRIME TIME - 24/08/2022,GrCzvoXJgJo,22-Aug,cnn,1120,9,66507
1334,Hackers tore apart voting machines. Here&#39;s what they found,M7MGdGttFA8,22-Aug,cnn,18730,6675,1101187
1335,Cooper: We&#39;ve entered the &#39;perfect phone call&#39; phase of the Mar-a-Lago saga,fdHTSbLo97Y,22-Aug,cnn,13751,6364,791042
1336,FBI chief responds to threats after search of Trump&#39;s property,ARgPOUeTdAk,22-Aug,cnn,8090,9231,537070
1337,Pink Floyd co-founder explains meaning behind warning at the top of his show,ml373MHAtXo,22-Aug,cnn,29541,18044,873549
1338,Former Trump White House lawyer reacts to FBI Mar-a-Lago search,4ZIhGftS2lY,22-Aug,cnn,4634,4005,366447
1339,"More people use weed than tobacco in the US, new poll reveals",FQxSwZDkxRk,22-Aug,cnn,2323,1979,83353
1340,CNN reporter explains how prosecutors are inching closer to Trump,mjdR0qsxfjY,22-Jul,cnn,5630,5028,386436
1341,GOP strategist says there are two ways FBI&#39;s Trump search can end,M8T8ejSpCnc,22-Aug,cnn,7890,6193,462943
1342,"&quot;Certeza que não vão encontrar nada&quot;, diz Hang à CNN sobre celular apreendido pela PF | NOVO DIA",yIPVCi4VZts,22-Aug,cnn,2521,1670,71652
1343,&#39;Hold on a second&#39;: CNN anchor presses GOP lawmaker on comparing Trump to Clinton,YJ25XyrvuQ4,22-Aug,cnn,12415,16954,1020152
1344,Hear Bannon’s reaction to FBI search of Mar-a-Lago,P5je6gBx3EA,22-Aug,cnn,3215,5058,288796
1345,Chinese ambassador: Pelosi&#39;s Taiwan visit will escalate tensions,qvit3SUUmQE,22-Aug,cnn,6465,10191,633520
1346,See Obama&#39;s clever callback to Biden after he signs bill,0odYZZ4qACg,22-Aug,cnn,4840,3004,251101
1347,Hear what voters have to say about Liz Cheney&#39;s opponent,ZFPD_RTYNX8,22-Aug,cnn,9069,10614,1084758
1348,Resumen en video de la guerra Ucrania - Rusia: 23 de agosto,nQXtTbRrAVE,22-Aug,cnn,1531,175,85359
1349,Reporter who broke major story about FBI’s search of Trump&#39;s home speaks to CNN,slrYhhU7ybM,22-Aug,cnn,5089,5964,454927
1350,Cheney says she’s ‘thinking about’ running for president,g4noYHiFVpU,22-Aug,cnn,4836,12045,264809
1351,Merrick Garland announces FBI filed motion to unseal Trump warrant,sl9B4phBEII,22-Aug,cnn,19359,13212,931636
1352,Republicans rush to Trump&#39;s defense after FBI executes search warrant at Mar-a-Lago,TbJsAJ8i0W0,22-Aug,cnn,6554,12194,549566
1353,‘The hypocrisy is jaw-dropping’: Honig on Trump taking the Fifth,IKe7eS5xXSg,22-Aug,cnn,8070,6888,576311
1354,Pence says he&#39;d consider testifying before Jan. 6 committee if invited,drQGaOJrJIA,22-Aug,cnn,3847,3053,278240
1355,Former Trump aide calls Trump’s CPAC speech ‘shameful’,OBT5GVaUCCo,22-Aug,cnn,5936,4649,473122
1356,Armed Trump supporters gathered outside Phoenix FBI office,3R_Ex5Xi5Nw,22-Aug,cnn,31563,38618,1889320
1357,Trump&#39;s ex-Chief of Staff reacts to report about informant tipping off FBI,8440F14wKGk,22-Aug,cnn,7973,11184,749734
1358,Brian Stelter speaks about cancellation of his CNN show &#39;Reliable Sources&#39;,zAZ-GK-H_Ys,22-Aug,cnn,11650,12453,438358
1359,&#39;Deadly serious matter’: Bernstein on FBI search of Trump home,rJV014ojKPk,22-Aug,cnn,7538,7921,566143
1360,"Rents are sky high, and Elon Musk&#39;s tweets cause a stir. Welcome to &#39;Nightcap&#39;",O15EHN6tlVM,22-Aug,cnn,644,886,65137
1361,Ex-prosecutor says Trump faces serious potential legal liability,uN930SNDLhQ,22-Aug,cnn,5947,4890,393718
1362,Trump and his allies flood airwaves with falsehoods after FBI search,zzUn1prQ5Ps,22-Aug,cnn,6164,8022,386949
1363,Reporter confronts Republican over call to defund FBI,1H-EWHVziNw,22-Aug,cnn,11563,7302,620690
1364,He got an offer to join Trump&#39;s legal team. Hear why he turned it down,ytiob-SMu18,22-Aug,cnn,12849,6876,858549
1365,See Crenshaw&#39;s reaction to Marjorie Taylor Greene calling to defund FBI,Rz-kH4QnSes,22-Aug,cnn,9666,17218,713211
1366,See McConnell’s telling prediction about 2022 elections,5DaVV221-yw,22-Aug,cnn,6383,3955,591721
1367,&#39;I thought of Al Capone&#39;: Legendary journalist reacts to Trump search,4giLq9Hwwx4,22-Aug,cnn,25885,8813,1178354
1368,Judge says he may unseal portions of Trump search affidavit,_TY6ol9HtPA,22-Aug,cnn,1274,1832,112418
1369,New satellite images debunk Putin&#39;s claim about nuclear plant,Pg8JW5mv-x4,22-Aug,cnn,4615,3057,278274
1370,Watch Jordan Klepper confront MAGA crowd on conspiracies,tif6K5B_JBM,22-Aug,cnn,7402,5297,367781
1371,Ex-Trump lawyer defends Trump against NYT report,uOqcqUBg0kA,22-Aug,cnn,2983,4589,240447
1372,Trump responds to AG Garland’s move to unseal search warrant,wbKZgefrbbU,22-Aug,cnn,16316,11467,1299714
1373,Ex-Trump attorney: What Trump fears the most about the FBI search,SK4Pw4-HoWQ,22-Aug,cnn,21111,9407,1203517
1374,Bible among challenged books school district is reviewing for removal,H21zuMPXbkA,22-Aug,cnn,1862,4996,148992
1375,See video Alex Jones sent out to followers after jury’s decision,yc33gDAfNJQ,22-Aug,cnn,16641,9979,1195181
1376,Ronny Jackson publicly criticized Biden&#39;s health. Then he heard from Obama,PmjxcmzXWKM,22-Jul,cnn,8684,5762,475535
1377,Analysis: How FBI&#39;s search of Mar-a-Lago could help Trump in 2024,62Z4MnFIifY,22-Aug,cnn,4898,9878,499461
1378,Liz Cheney: The evidence is there to prosecute Trump,nBzhjGblcJU,22-Aug,cnn,13318,7773,657999
1831,Machine Learning Basics | What Is Machine Learning? | Introduction To Machine Learning | Simplilearn,ukzFI9rgwfU,18-Sep,machine learning,43189,1155,2317183
1832,Computer Scientist Explains Machine Learning in 5 Levels of Difficulty | WIRED,5q87K1WaoFI,21-Aug,machine learning,15137,181,906372
1833,Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka,GwIo3gDZCVQ,19-Sep,machine learning,36835,1265,1456270
1834,What is Machine Learning?,HcqpanDadyQ,17-Aug,machine learning,38776,566,2278698
1835,Python Machine Learning Tutorial (Data Science),7eh4d6sabA0,20-Sep,machine learning,1237,16,32605
1836,The 7 steps of machine learning,nKW8Ndu7Mjw,17-Aug,machine learning,30764,929,856628
1837,Machine Learning vs Deep Learning,q6kJ71tEYqM,22-Mar,machine learning,18982,402,1339489
1838,Machine Learning Course for Beginners,NWONeJKn6kc,21-Aug,machine learning,300789,6254,11814893
1839,11. Introduction to Machine Learning,h0e2HAPTGF4,17-May,machine learning,13141,382,181827
1840,"But what is a neural network? | Chapter 1, Deep learning",aircAruvnKk,17-Oct,machine learning,17219,417,762553
1841,Machine Learning Explained in 100 Seconds,PeMlggyqz0Y,21-Sep,machine learning,16152,282,605453
1842,Machine Learning &amp; Artificial Intelligence: Crash Course Computer Science #34,z-EtmaFJieY,17-Nov,machine learning,44217,1448,872008
1843,All Machine Learning Models Explained in 5 Minutes | Types of ML Models Basics,yN7ypxC7838,20-May,machine learning,559,24,27243
1844,🖥️ HOW TO GET STARTED WITH MACHINE LEARNING!,I74ymkoNTnw,18-Feb,machine learning,22643,555,508969
1845,What is Machine Learning?,9gGnTQTYNaE,21-Jul,machine learning,16723,372,738202
1846,How to Get Started with Machine Learning &amp; AI,nl7kDPYD20A,19-Sep,machine learning,8812,889,578179
1847,Intro to Machine Learning (ML Zero to Hero - Part 1),KNAWp2S3w94,19-Aug,machine learning,34464,822,1651599
1848,Why You Should NOT Learn Machine Learning!,reY50t2hbuM,20-Oct,machine learning,12687,313,367200
1849,Machine Learning Zero to Hero (Google I/O&#39;19),VwVg9jCtqaU,19-May,machine learning,29818,1028,854273
1850,The Mathematics of Machine Learning,Rt6beTKDtqY,18-Nov,machine learning,27736,692,1432027
1851,2020 Machine Learning Roadmap (95% valid for 2022),pHiMN_gy9mk,20-Jul,machine learning,176978,7152,10817160
1852,Deep Learning Basics: Introduction and Overview,O5xeyoRL95U,19-Jan,machine learning,4831,1517,292643
1853,MarI/O - Machine Learning for Video Games,qv6UVOQ0F44,15-Jun,machine learning,29980,897,1167616
1854,Machine Learning Algorithms | Machine Learning Tutorial | Data Science Algorithms | Simplilearn,I7NrVwm3apg,18-Mar,machine learning,3518,97,127492
1855,Machine Learning with Python | Machine Learning Tutorial for Beginners | Machine Learning Tutorial,RnFGwxJwx-0,20-Feb,machine learning,26619,1070,1378069
1856,Complete Machine Learning In 6 Hours| Krish Naik,JxgmHe2NyeY,22-May,machine learning,5658,195,132583
1857,Machine Learning: Living in the Age of AI | A WIRED Film,ZJixNvx9BAc,19-Jun,machine learning,9862,205,402110
1858,How I Learnt Machine Learning In 6 Steps (3 months),OuC3wgp1Fnw,19-Oct,machine learning,463331,21849,7497071
1859,Deep Learning Crash Course for Beginners,VyWAvY2CF9c,20-Jul,machine learning,18847,76,1414209
1860,How Machines Learn,R9OHn5ZF4Uo,17-Dec,machine learning,10441,172,515395
1861,"Stanford CS229: Machine Learning Course, Lecture 1 - Andrew Ng (Autumn 2018)",jGwO_UgTS7I,20-Apr,machine learning,25161,1188,847233
1862,1. Artificial Intelligence and Machine Learning,t4K6lney7Zw,20-Jun,machine learning,1151,37,25386
1863,Machine Learning Fundamentals: Bias and Variance,EuBBz3bI-aA,18-Sep,machine learning,109335,2712,5028230
1864,Ultimate Machine Learning Roadmap 2022 (HUGE ANNOUNCEMENT)!,y4o9hrSCDPI,22-Jan,machine learning,1520,32,56956
1865,"Gradient descent, how neural networks learn | Chapter 2, Deep learning",IHZwWFHWa-w,17-Oct,machine learning,4306,48,238411
1866,Machine Learning With Python Full Course 2022 | Machine Learning Tutorial for Beginners| Simplilearn,c8W7dRPdIPE,22-Mar,machine learning,413,4,41925
1867,Machine Learning Interview Questions and Answers | Machine Learning Interview Preparation | Edureka,t6gOpFLt-Ks,18-Jun,machine learning,5190,217,145691
1868,What is Machine Learning?,QghjaS0WQQU,18-Feb,machine learning,15683,1004,879470
1869,Reinforcement Learning: Machine Learning Meets Control Theory,0MNVhXEX9to,21-Feb,machine learning,3505,408,257103
1870,Deep Learning In 5 Minutes | What Is Deep Learning? | Deep Learning Explained Simply | Simplilearn,6M5VXKLf4D4,19-Jun,machine learning,2712,146,82298
1871,Machine Learning Tutorial Python - 10  Support Vector Machine (SVM),FB5EdxAGxQg,18-Dec,machine learning,2464,130,192964
1872,What Does A Machine Learning Engineer At Amazon Do?,opb2Bq4Qvyo,21-May,machine learning,7289,158,351087
1873,Machine Learning Tutorial | Machine Learning Basics | Machine Learning Algorithms | Simplilearn,G7fPB4OHkys,18-Feb,machine learning,4759,232,130286
1874,Live Day 1- Introduction To Machine Learning Algorithms For Data Science,4UJelID_ICw,22-Feb,machine learning,1861,184,37959
1875,Complete Roadmap for Machine Learning | ML Roadmap for Beginners,T4MLrtOKPjY,21-May,machine learning,9615,648,319957
1876,Should You Learn Machine Learning?,AO6urf07KjE,21-Jun,machine learning,10259,416,386360
1877,Todos podemos aprender Machine learning,7ClLKBUvmRk,17-Oct,machine learning,2981,72,431421
1878,"Andrew Ng: Deep Learning, Education, and Real-World AI | Lex Fridman Podcast #73",0jspaMLxBig,20-Feb,machine learning,5198,443,226152
1879,What is Machine Learning?,f_uwKZIAeM0,17-Jan,machine learning,,,
1880,Don&#39;t learn machine learning,cyLWtMSry58,20-Mar,machine learning,,,
